Год;Месяц;"Выручка по заказам";"Заказы с лого";"Средний заказ";"с/с заказов";"доход с заказов";"% менегера по заказам";"Выручка магазин";"Заказов магазин";"Средний чек";"с/с готовой продукции";Доставок;"С/с доставок";"Выручка магазин за вычетом доставки";"Маржа магазин без налогов и %";"% менегера по магазину";"Выручка магазин c ЛОГО";"заказов магазин с ЛОГО";"средний чек";"c/c гот. с ЛОГО";"маржа магазин с ЛОГО без учета налогов и %";"% менеджера по магазину с ЛОГО";"Общая выручка";"налог + банк 4%";Доход
2021;1;2202243;26;84702;1239544;962699;96270;2599197;313;8304;814507;165;118605;2480592;1666085;29767;363496;20;18175;213891;149606;14961;5164936;1;2637392
2021;2;4727132;44;107435;2747535;1979597;197960;3647712;520;7015;1052021;291;201995;3445718;2393697;41349;864932;42;20594;492807;372125;37213;9239777;2;4468898
2021;3;2950662;39;75658;1420630;1530032;153003;4038260;564;7160;1240914;330;229835;3808426;2567512;45701;638014;37;17244;368333;269681;26968;7626936;3;4141552
2021;4;3622218;41;88347;2184456;1437762;143776;3166206;411;7704;909279;239;168038;2998167;2088888;35978;458035;26;17617;255238;202797;20280;7246458;4;3529413
2021;5;2695673;28;96274;1628009;1067664;106766;2405421;304;7913;692473;162;126945;2278476;1586003;27342;345790;24;14408;202474;143316;14332;5446884;5;2648544
2021;6;3379568;26;129983;1725103;1654465;165446;2464316;315;7823;683962;172;124433;2339882;1655920;28079;704830;33;21358;398265;306565;30657;6548713;6;3392769
2021;7;2202976;27;81592;1130204;1072772;107277;2361148;322;7333;724077;188;140952;2220196;1496119;26642;449304;26;17281;260349;188955;18895;5013428;7;2605031
2021;8;2442891;24;101787;1431335;1011556;101156;2487865;309;8051;756077;186;134373;2353492;1597415;28242;512751;27;18991;284168;228584;22858;5443507;8;2685299
2021;9;4855061;39;124489;2738615;2116446;211645;3800767;420;9049;1156764;239;171632;3629135;2472371;43550;1067679;45;23726;706748;360931;36093;9723507;9;4658461
2021;10;4521629;48;94201;2433622;2088007;208801;3529503;429;8227;1021681;242;177414;3352090;2330408;40225;744472;37;20121;398935;345537;34554;8795605;10;4480373
2021;11;6397598;73;87638;3667450;2730148;273015;9286159;672;13819;2618961;402;312179;8973980;6355019;107688;2093746;77;27192;1193830;899916;89992;17777503;11;9514389
2021;12;2180946;26;83883;1012600;1168346;116835;14961574;1433;10441;4182360;850;664737;14296837;10114477;171562;1969875;77;25583;1073195;896679;89668;19112394;12;11801437
2022;1;3012536;29;103881;1691995;1320541;132054;2647456;287;9225;768432;170;125219;2522237;1753805;30267;341616;17;20095;179361;162255;16226;6001608;1;3058054
2022;2;2942424;35;84069;1574698;1367726;136773;4088276;432;9464;1257097;235;178573;3909703;2652606;46916;482452;21;22974;243172;239280;23928;7513152;2;4051995
2022;3;4025578;37;108799;2419072;1606506;160651;3375171;338;9986;1068697;164;121157;3254014;2185317;39048;602490;25;24100;283414;319076;31908;8003239;3;3879293
2022;4;4574336;30;152478;2995756;1578580;157858;2203382;253;8709;707606;129;99736;2103646;1396040;25244;351266;14;25090;195856;155410;15541;7128983;4;2931387
2022;5;2662571;26;102407;1763307;899264;89926;2777771;272;10212;882886;167;133264;2644507;1761621;31734;358590;28;12807;200945;157646;15765;5798933;5;2681106
2022;6;1545843;15;103056;531032;1014811;101481;1042460;114;9144;318066;60;47511;994950;676884;11939;328622;17;19331;197281;131341;13134;2916925;6;1696481
