"Год, месяц";"Кол-во заказов СТАРЫХ";"Выручка заказов СТАРЫХ";"Кол-во магазин с лого СТАРЫХ";"Выручка магазин с лого СТАРЫХ";"Кол-во заказов магазин СТАРЫХ ";"Выручка магазин СТАРЫХ";"Итог кол-во СТАРЫХ";"Итог выручка СТАРЫХ";"Кол-во заказов НОВЫХ";"Выручка заказов НОВЫХ";"Выручка заказов НОВЫХ";"Кол-во магазин с лого НОВЫХ";"Кол-во заказов магазин НОВЫХ";"Выручка магазин НОВЫХ";"Итого кол-во НОВЫХ";"Итого выручка НОВЫХ"
2020-01;17;1125465;16;415733;155;1777747;188;3318945;3;622818;12;322708;75;555229;90;1500755
2020-02;20;1113498;19;413853;256;2458827;295;3986178;9;424902;20;252049;153;1422704;182;2099655
2020-03;9;726520;5;60481;115;1168869;129;1955870;7;735278;13;293785;98;581245;118;1610308
2020-04;1;15800;1;24780;5;56295;7;96875;3;146318;5;80802;50;442897;58;670017
2020-05;0;0;;;0;0;0;0;0;0;;;0;0;0;0
2020-06;0;0;;;0;0;0;0;0;0;;;0;0;0;0
2020-07;0;0;;;0;0;0;0;0;0;;;0;0;0;0
2020-08;0;0;;;0;0;0;0;0;0;;;0;0;0;0
2020-09;0;0;;;0;0;0;0;0;0;;;0;0;0;0
2020-10;0;0;;;0;0;0;0;0;0;;;0;0;0;0
2020-11;0;0;;;0;0;0;0;0;0;;;0;0;0;0
2020-12;0;0;;;0;0;0;0;0;0;;;0;0;0;0
